"group","alleles"
"Mafa-DRB_W021g","DRB_W021_04_01,DRB_W021_04_02"
"Mafa-DRB_W027g","DRB_W027_01_01,DRB_W027_01_02"
"Mafa-DRB_W033g","DRB_W033_01_01,DRB_W033_04"
"Mafa-DRB_W036g1","DRB_W036_01,DRB_W036_05"
"Mafa-DRB_W004g1","DRB_W004_01,DRB_W004_09"
"Mafa-DRB_W005g","DRB_W005_01,DRB_W005_04"
"Mafa-E_02g1","E_02_01_01,E_02_01_02_01,E_02_02,E_02_13"
"Mafa-I_01g1","I_01_01_01,I_01_01_02,I_01_01_03,I_01_01_04_01,I_01_02,I_01_03,I_01_04,I_01_05,I_01_06_01,I_01_06_02,I_01_10_01_01,I_01_10_01_02,I_01_10_02,I_01_11_01_01,I_01_11_02_01,I_01_11_02_02,I_01_11_02_03,I_01_11_03,I_01_11_04_01,I_01_13_01,I_01_13_02,I_01_13_03,I_01_14_01,I_01_14_02,I_01_14_03,I_01_14_04,I_01_14_05_01,I_01_14_05_02,I_01_14_06,I_01_14_07_01,I_01_14_08_01,I_01_14_08_02,I_01_14_09_01,I_01_14_09_02,I_01_14_10_01,I_01_14_11,I_01_14_12,I_01_14_13,I_01_14_14_01,I_01_14_15_01,I_01_15_01,I_01_15_02,I_01_16,I_01_17,I_01_18_01_01,I_01_18_01_02,I_01_18_01_03,I_01_18_01_04,I_01_19_01_01,I_01_19_02_01,I_01_19_02_02,I_01_20N,I_01_21,I_01_22,I_01_22_01_01,I_01_23_01,I_01_23_02_01,I_01_24,I_01_25,I_01_27,I_01_28,I_01_30_01_01,I_01_32_01_01,I_01_35_01,I_01_35_02_01,I_01_35_03_01,I_01_36,I_01_37_01,I_01_37_02,I_01_38_01,I_01_38_02_01,I_01_40,I_01_41,I_01_42,I_01_43_01,I_01_43_02,I_01_43_03_01,I_01_44,I_01_46,I_01_47_01_01,I_01_48,I_01_49_01_01,I_01_49_02_01,I_01_50,I_01_52,I_01_53,I_01_54,I_01_55_01_01,I_01_56_01_01,I_01_57_01_01,I_01_58,I_01_59_01_01,I_01_60_01_01,I_01_63_01_01,I_01_64,I_01_65,I_01_66,I_01_67_01_01,I_01_68,I_01_71_01_01,I_01_73_01_01,I_01_75_01_01,I_01_76_01_01,I_01_76_01_02,I_01_77_01_01,I_01_78_01_01,I_01_80_01_01"
"Mafa-DRB_W004g2","DRB_W004_04,DRB_W004_10,DRB_W004_11,DRB_W004_14"
"Mafa-DRB_W002g","DRB_W002_03,DRB_W002_09"
"Mafa-DRB_W004g3","DRB_W004_03,DRB_W004_07"
"Mafa-DRB3_04g1","DRB3_04_03_01,DRB3_04_03_02"
"Mafa-DRB3_04g2","DRB3_04_04,DRB3_04_12"
"Mafa-DRB_W037g","DRB_W037_02,DRB_W037_03"
"Mafa-DRB3_04g3","DRB3_04_07,DRB3_04_10"
"Mafa-DRB_W026g","DRB_W026_01,DRB_W026_02_02"
"Mafa-DRB1_07g","DRB1_07_02_02,DRB1_07_06"
"Mafa-DRB_W031g","DRB_W031_02,DRB_W031_03"
"Mafa-DRB1_04g1","DRB1_04_11_01,DRB1_04_11_02"
"Mafa-A2_05g1","A2_05_14,A2_05_20,A2_05_31_01_01,A2_05_31_01_02,A2_05_33,A2_05_37,A2_05_40_01_01,A2_05_62_02,A2_05_70_01_01,A2_05_71_01_01,A2_05_78"
"Mafa-DPB1_15g1","DPB1_15_05,DPB1_15_10,DPB1_15_11"
"Mafa-DPB1_03g2","DPB1_03_02,DPB1_03_03,DPB1_03_04_01,DPB1_03_04_02,DPB1_03_04_03,DPB1_03_05,DPB1_03_06"
"Mafa-DQA1_01g1","DQA1_01_03_02,DQA1_01_03_03,DQA1_01_03_04,DQA1_01_03_06,DQA1_01_11,DQA1_01_25,DQA1_01_26,DQA1_01_27,DQA1_01_29"
"Mafa-DQA1_01g2","DQA1_01_04,DQA1_01_09_02"
"Mafa-DQA1_05g1","DQA1_05_01_01,DQA1_05_01_02,DQA1_05_06_01,DQA1_05_06_02,DQA1_05_08,DQA1_05_09,DQA1_05_15"
"Mafa-DQA1_05g2","DQA1_05_03_01_01,DQA1_05_03_02"
"Mafa-DQA1_05g3","DQA1_05_04_01,DQA1_05_04_02"
"Mafa-DQA1_23g","DQA1_23_01_01,DQA1_23_01_03,DQA1_23_04,DQA1_23_06"
"Mafa-DQA1_24g1","DQA1_24_02_01,DQA1_24_02_02,DQA1_24_02_03,DQA1_24_07"
"Mafa-DQB1_06g7","DQB1_06_15,DQB1_06_43"
"Mafa-DRB1_03g4","DRB1_03_12_01,DRB1_03_36"
"Mafa-DRB1_03g5","DRB1_03_17_01,DRB1_03_17_02"
"Mafa-DRB_W003g","DRB_W003_04_01,DRB_W003_14,DRB_W003_18,DRB_W003_21"
"Mafa-DRB_W006g1","DRB_W006_01,DRB_W006_06,DRB_W006_07_01,DRB_W006_14"
"Mafa-DRB_W007g","DRB_W007_02,DRB_W007_07"
"Mafa-DPB1_01g1","DPB1_01_02_01,DPB1_01_02_02,DPB1_01_02_03,DPB1_01_11,DPB1_01_12,DPB1_01_14"
"Mafa-DPB1_15g2","DPB1_15_02,DPB1_15_08"
"Mafa-DPB1_07g1","DPB1_07_01,DPB1_07_02,DPB1_07_05,DPB1_07_06"
"Mafa-DPB1_25g","DPB1_25_01,DPB1_25_02,DPB1_25_03,DPB1_25_04"
"Mafa-A2_05g2","A2_05_01_01_01,A2_05_02,A2_05_03,A2_05_04_01_01,A2_05_05,A2_05_06_01,A2_05_06_02_01,A2_05_06_04_01,A2_05_06_05,A2_05_06_06_01,A2_05_07_01_01,A2_05_07_01_02,A2_05_08,A2_05_09,A2_05_10,A2_05_11_01_01,A2_05_12_01,A2_05_12_02_01,A2_05_15,A2_05_17,A2_05_22,A2_05_23,A2_05_26,A2_05_28,A2_05_32,A2_05_34,A2_05_35,A2_05_36,A2_05_43,A2_05_44,A2_05_45_01_01,A2_05_46_01_01,A2_05_47,A2_05_49,A2_05_52,A2_05_55_01_01,A2_05_57_01_01,A2_05_57_01_02,A2_05_57_02,A2_05_58,A2_05_59_01_01,A2_05_60_01_01,A2_05_61,A2_05_63_01_01,A2_05_66_01_01,A2_05_67,A2_05_72_01_01,A2_05_73_01_01,A2_05_73_01_02,A2_05_77_01_01"
"Mafa-A2_05g3","A2_05_13,A2_05_19,A2_05_25_01_01,A2_05_25_02,A2_05_25_03,A2_05_25_04_01,A2_05_27,A2_05_39,A2_05_53,A2_05_54,A2_05_74_01_01"
"Mafa-A1_006g","A1_006_01_01_01,A1_006_01_02,A1_006_02"
"Mafa-A2_05g4","A2_05_24,A2_05_64_01_01"
"Mafa-A2_05g5","A2_05_29,A2_05_30_01_01,A2_05_48"
"Mafa-DRB1_03g6","DRB1_03_08_01,DRB1_03_08_02,DRB1_03_38"
"Mafa-DRB_W001g3","DRB_W001_04,DRB_W001_12,DRB_W001_14,DRB_W001_19"
"Mafa-DRB_W049g","DRB_W049_01_01_01,DRB_W049_01_02"
"Mafa-DRB_W040g","DRB_W040_01_01,DRB_W040_01_02"
"Mafa-DPB1_01g2","DPB1_01_01_01,DPB1_01_01_02,DPB1_01_07,DPB1_01_13"
"Mafa-DPB1_01g3","DPB1_01_04_01,DPB1_01_04_02,DPB1_01_08,DPB1_01_10,DPB1_01_15"
"Mafa-DPB1_15g3","DPB1_15_01_01,DPB1_15_07,DPB1_15_09,DPB1_15_12,DPB1_15_13,DPB1_15_14"
"Mafa-DPB1_06g1","DPB1_06_01,DPB1_06_05,DPB1_06_06_01,DPB1_06_06_02"
"Mafa-DPB1_06g2","DPB1_06_02,DPB1_06_09,DPB1_06_10"
"Mafa-DPB1_07g2","DPB1_07_03_01,DPB1_07_03_02,DPB1_07_04"
"Mafa-DPB1_09g1","DPB1_09_01_01,DPB1_09_01_02"
"Mafa-DPB1_09g2","DPB1_09_02_01_01,DPB1_09_04"
"Mafa-DPB1_08g","DPB1_08_07,DPB1_08_08"
"Mafa-DPB1_18g","DPB1_18_01,DPB1_18_03_01,DPB1_18_03_02"
"Mafa-DPB1_19g1","DPB1_19_01,DPB1_19_07"
"Mafa-DPB1_19g2","DPB1_19_06_01,DPB1_19_06_02"
"Mafa-DPA1_07g1","DPA1_07_02,DPA1_07_17"
"Mafa-DPA1_13g","DPA1_13_01_01_01,DPA1_13_02,DPA1_13_03"
"Mafa-DQA1_24g2","DQA1_24_03,DQA1_24_04"
"Mafa-DQA1_01g3","DQA1_01_06_01,DQA1_01_06_02"
"Mafa-DQA1_01g4","DQA1_01_07_01,DQA1_01_07_02,DQA1_01_12,DQA1_01_24_02"
"Mafa-DQA1_01g5","DQA1_01_08_01,DQA1_01_08_02,DQA1_01_08_03,DQA1_01_08_04,DQA1_01_20"
"Mafa-B_028g","B_028_03_01_01,B_028_04_01_01,B_028_05"
"Mafa-A1_086g","A1_086_01_01,A1_086_01_02_01N,A1_086_02,A1_086_03,A1_086_04,A1_086_05,A1_086_06_01_01N"
"Mafa-A3_13g1","A3_13_09,A3_13_10,A3_13_29,A4_01_01_01_01,A4_01_03_01,A4_01_06,A4_01_09_01_01N,A4_01_09N,A4_01_10,A4_01_12N,A4_03_01,A4_14_18_01_01"
"Mafa-A1_078g","A1_078_01_01,A1_078_01_02,A1_078_02"
"Mafa-A1_010g","A1_010_01,A1_010_02_01,A1_010_03,A1_010_04,A1_010_08"
"Mafa-A1_062g","A1_062_01,A1_062_02,A1_062_03,A1_062_05"
"Mafa-A1_066g1","A1_066_02,A1_066_03,A1_066_05"
"Mafa-A1_041g","A1_041_02,A1_041_03_01,A1_041_03_02,A1_041_04"
"Mafa-B_124g1","B_124_01_01,B_124_02,B_124_04_01_01,B_124_05_01_01N"
"Mafa-B_098g1","B_098_02,B_098_03_01,B_098_12_01_01,B_098_16_01,B_098_16_02_01,B_098_17_01_01,B_098_17_02,B_098_17_03_01,B_098_17_04,B_098_17_05_01,B_098_19,B_098_21,B_098_23_01_01"
"Mafa-B_011g","B_011_01_01_01,B_011_02,B_011_03_01_01,B_011_04,B_011_05_02,B_011_06,B_011_07"
"Mafa-B_013g1","B_013_01,B_013_02"
"Mafa-B_002g1","B_002_02,B_002_03,B_002_04_01_01,B_002_04_01_02,B_002_04_01_03,B_136_01,B_136_02"
"Mafa-B_004g","B_004_03_01,B_004_03_02,B_004_04_01_01"
"Mafa-B_137g","B_137_01_01,B_137_01_02,B_137_01_03,B_137_03_01_01,B_137_04,B_137_05,B_137_06_01_01,B_137_07,B_137_08_01_01,B_137_09,B_137_10,B_137_12"
"Mafa-B_047g","B_047_01,B_047_02,B_047_03"
"Mafa-B_153g","B_153_01,B_153_02,B_153_04"
"Mafa-B_154g","B_154_01_01,B_154_01_02"
"Mafa-A1_088g","A1_088_01,A1_088_02"
"Mafa-A1_022g1","A1_022_02,A1_062_04"
"Mafa-A1_089g1","A1_089_01,A1_089_08,A1_089_09"
"Mafa-A1_060g1","A1_060_01,A1_060_02,A1_060_03,A1_060_05,A1_060_05_01_01,A1_060_07"
"Mafa-A1_090g1","A1_090_01_01,A1_090_01_02,A1_090_02_01,A1_090_05,A1_090_07"
"Mafa-B_101g1","B_101_01_01,B_101_01_02,B_101_03,B_101_07"
"Mafa-B_048g1","B_048_02_01,B_048_02_02"
"Mafa-B_045g1","B_045_01_01_01,B_045_01_02"
"Mafa-B_003g","B_003_01,B_003_02,B_003_03_01_01"
"Mafa-B_060g1","B_060_01_01_01,B_060_02,B_060_03_01,B_060_03_02,B_060_03_03,B_060_04_01_01,B_060_04_01_02,B_060_04_02_01,B_060_08,B_060_13_01_01,B_060_13_01_02,B_060_13_01_03,B_060_14,B_060_17,B_060_19_01_01,B_060_20_01,B_060_20_02,B_060_21,B_060_22,B_060_23_01_01,B_060_24_01_01,B_060_24_02_01,B_060_24_03_01,B_060_25,B_060_27,B_060_28,B_060_29,B_060_32_01_01,B_060_33_01_01,B_060_34_01_01,B_060_36_01_01"
"Mafa-B_037g1","B_037_02,B_037_04"
"Mafa-B_105g","B_105_01_01_01,B_156_01_01_01"
"Mafa-B_005g","B_005_01_01_01N,B_005_02N"
"Mafa-A1_071g","A1_071_01,A1_071_02"
"Mafa-A1_076g","A1_076_01,A1_076_02"
"Mafa-A1_002g1","A1_002_01_01,A1_002_01_02"
"Mafa-A1_043g1","A1_043_01_01_01,A1_043_02,A1_043_04,A1_043_09,A1_043_10,A1_043_13,A1_077_01_01,A1_077_01_02,A1_077_02_01_01,A1_077_02_02,A3_13_07_01_01,A3_13_20"
"Mafa-A6_01g1","A6_01_02,A6_01_18_02_01"
"Mafa-A1_032g1","A1_032_02,A1_032_05"
"Mafa-A1_018g1","A1_018_01_01_01,A1_018_02,A1_018_05_01,A1_018_09"
"Mafa-A1_079g","A1_079_01,A1_079_02"
"Mafa-A1_015g","A1_015_01_01_01,A1_015_01_01_02,A1_015_01_02,A1_015_03,A1_015_04,A1_067_01_01_01,A1_067_03,A1_067_04,A1_067_05,A1_067_06"
"Mafa-A1_045g","A1_045_01_01_01,A1_045_02"
"Mafa-A1_007g1","A1_007_01,A1_007_08_01_01,A1_007_09"
"Mafa-A1_033g","A1_033_01_01_01,A1_033_02,A1_033_03_01_01,A1_036_01,A1_036_02,A1_036_03,A1_036_04,A1_041_05,A1_045_04,A1_057_01,A1_057_02"
"Mafa-A1_011g","A1_011_01,A1_011_02"
"Mafa-A1_040g","A1_040_01_01_01,A1_040_01_02,A1_040_02,A1_040_03_01_01"
"Mafa-A1_022g2","A1_022_01,A1_022_03,A1_022_04_01_01,A1_022_05,A1_022_06_01_01,A1_022_10,A1_022_11"
"Mafa-A1_063g1","A1_063_01_01_01,A1_063_02_01_01,A1_063_03_01,A1_063_03_02,A1_063_03_03"
"Mafa-A1_001g1","A1_001_02_01_01,A1_001_02_01_02,A1_001_03,A1_001_05"
"Mafa-A1_027g","A1_027_01_01_01,A1_027_03_01_01"
"Mafa-A5_30g1","A5_30_01_01_01,A5_30_03_01,A5_30_03_02,A5_30_06_01_01,A5_30_06_01_02,A5_30_06_01_03,A5_30_08"
"Mafa-A1_031g","A1_031_01,A1_031_01_01_01,A1_031_02"
"Mafa-A1_032g2","A1_032_01,A1_032_01_01_01"
"Mafa-A1_038g","A1_038_01_01_01,A1_038_02"
"Mafa-A1_042g","A1_042_01,A1_042_03"
"Mafa-A1_043g2","A1_043_12,A3_13_15_01_01,A3_13_21_01_01,A3_13_22_01_01,A3_13_22_01_02,A3_13_23,A3_13_28,A3_13_35_01_01N,A3_13_35_01_02N,A4_01_02_01_01,A4_01_02_01_02,A4_01_04,A4_01_11,A4_01_13,A4_14_22_01_01"
"Mafa-A1_003g","A1_003_02,A1_003_03_01_01,A1_003_05,A1_003_06_01_01,A1_003_07_01_01,A1_003_08,A1_003_10"
"Mafa-A1_007g2","A1_007_02,A1_007_05"
"Mafa-A1_019g1","A1_019_01,A1_019_02"
"Mafa-A1_052g","A1_052_01,A1_052_02,A1_052_03"
"Mafa-A1_053g","A1_053_01_01_01,A1_053_01_02,A1_053_02"
"Mafa-A1_055g","A1_055_01,A1_055_02,A1_056_01,A1_056_02,A1_056_04"
"Mafa-A1_080g","A1_080_01,A1_080_02"
"Mafa-A1_064g","A1_064_01,A1_064_02,A1_064_03"
"Mafa-A1_065g1","A1_065_01_01,A1_065_01_02"
"Mafa-A1_066g2","A1_066_01,A1_066_04,A1_066_06_01_01,A1_066_07"
"Mafa-A1_068g","A1_068_01,A1_068_02,A1_068_03"
"Mafa-A2_05g6","A2_05_16,A2_05_65"
"Mafa-A4_14g1","A4_14_01_01_01N,A4_14_01_01_02N,A4_14_02N,A4_14_05_01_01,A4_14_07,A4_14_08_01,A4_14_08_03_01,A4_14_10,A4_14_12,A4_14_21_01_01N"
"Mafa-A5_30g2","A5_30_02,A5_30_04"
"Mafa-A6_01g2","A6_01_01,A6_01_05,A6_01_06,A6_01_09_01,A6_01_09_02,A6_01_10,A6_01_12,A6_01_14,A6_01_15_01_01,A6_01_16_01_01,A6_01_17_01_01,A6_01_18_01_01,A6_01_19_01_01"
"Mafa-A1_047g","A1_047_01,A1_047_02,A1_047_02_01_01,A1_099_02,A1_099_03_01_01"
"Mafa-DRB_W036g2","DRB_W036_02_02,DRB_W036_04"
"Mafa-DRB_W004g4","DRB_W004_05,DRB_W004_08"
"Mafa-A1_093g","A1_093_01,A1_093_02"
"Mafa-A1_089g2","A1_089_02,A1_089_07"
"Mafa-A1_008g1","A1_008_03,A1_008_05"
"Mafa-A1_089g3","A1_089_03,A1_089_05"
"Mafa-A3_13g2","A3_13_03_01,A3_13_04,A3_13_05,A3_13_08,A3_13_11,A3_13_14_01_01N,A3_13_14_01_02N,A3_13_17_01,A3_13_17_02,A3_13_18,A3_13_24,A3_13_25,A3_13_26,A3_13_27,A3_13_30_01_01,A3_13_31,A4_01_08_01_01,A4_01_08_02_01"
"Mafa-B_095g","B_095_01_01_01,B_095_04"
"Mafa-B_013g2","B_013_08,B_013_09_01_01,B_013_09_01_02"
"Mafa-B_033g1","B_033_01_01_01,B_033_02,B_033_05"
"Mafa-B_017g","B_017_01,B_017_03"
"Mafa-B_007g1","B_007_01_01_01,B_007_01_01_02,B_007_01_01_03,B_007_01_03,B_007_01_04,B_007_02,B_007_04,B_007_07_01_01,B_007_09,B_007_11"
"Mafa-B_117g1","B_117_01,B_117_03,B_117_04,B_117_07"
"Mafa-B_089g","B_089_01_01,B_089_01_02_01,B_089_01_03,B_089_01_04,B_089_01_05,B_089_02"
"Mafa-B_056g1","B_056_01_01_01,B_056_02_01,B_056_05_01_01,B_056_05_02"
"Mafa-B_151g1","B_151_02_01,B_151_02_02,B_151_03"
"Mafa-B_048g2","B_048_01,B_048_03,B_048_04,B_048_05,B_048_07_01_01"
"Mafa-B_099g","B_099_01,B_099_03"
"Mafa-B_108g","B_108_01,B_108_02_01_01"
"Mafa-B_007g2","B_007_01_02,B_007_01_05_01,B_007_01_05_02,B_007_01_05_03,B_007_01_06_01"
"Mafa-B_072g1","B_072_01,B_072_02,B_072_02_01_01,B_072_12_01_01,B_072_12_02_01"
"Mafa-I_01g2","I_01_12_01,I_01_12_02,I_01_72_01_01"
"Mafa-DPA1_02g2","DPA1_02_04,DPA1_02_05,DPA1_02_13_01,DPA1_02_13_02,DPA1_02_38"
"Mafa-DQA1_26g2","DQA1_26_03,DQA1_26_12,DQA1_26_13"
"Mafa-DQB1_27g1","DQB1_27_03,DQB1_27_08"
"Mafa-B_147g","B_147_01_01_01,B_147_03,B_147_05"
"Mafa-B_046g1","B_046_01_01_01,B_046_01_02,B_046_05,B_046_15"
"Mafa-B17_01g","B17_01_01,B17_01_02,B17_01_03,B17_01_04,B17_01_05_01_01"
"Mafa-B_126g","B_126_01,B_160_01"
"Mafa-B_117g2","B_117_02_01,B_117_02_02,B_117_06"
"Mafa-B_079g1","B_079_01_01_01,B_079_01_02,B_079_01_03,B_079_02_01_01,B_079_02_02,B_079_02_03_01,B_079_02_03_02,B_079_02_04,B_079_02_05_01,B_079_03_01_01,B_079_04_01,B_079_06_01_01,B_079_08,B_079_10_01_01N,B_079_11_01_01,B_079_12_01_01,B_079_13_01_01N,B_170_01"
"Mafa-A1_032g3","A1_032_03,A1_032_03_02"
"Mafa-A1_096g","A1_096_01_01_01,A1_096_02"
"Mafa-A1_060g2","A1_060_04,A1_060_06_01"
"Mafa-A1_085g","A1_085_01,A1_085_02_01_01"
"Mafa-A1_043g3","A1_043_03,A1_043_05"
"Mafa-A2_24g1","A2_24_02,A2_24_03"
"Mafa-A1_092g1","A1_092_01_01_01,A1_092_01_01Sp,A1_092_01_02,A1_092_04"
"Mafa-A1_074g","A1_074_01_01,A1_074_01_02,A1_074_01_03_01,A1_074_01_04,A1_074_02,A1_074_03"
"Mafa-A1_002g2","A1_002_02_01_01,A1_002_03"
"Mafa-A1_065g2","A1_065_03_01_01,A1_065_04_02"
"Mafa-A1_019g2","A1_019_05,A1_090_04_02"
"Mafa-A1_065g3","A1_065_04_01_01,A1_065_04_01_02,A1_065_06"
"Mafa-I_01g3","I_01_07,I_01_51"
"Mafa-B_143g","B_143_01,I_01_08,I_01_09_01_01,I_01_09_01_02"
"Mafa-I_03g","I_03_01_01_01N,I_03_01_02,I_03_02,I_03_03"
"Mafa-A1_100g","A1_100_01,A1_100_02"
"Mafa-A1_101g","A1_101_02_01_01,A1_101_02_02"
"Mafa-A1_103g","A1_103_01,A1_103_02"
"Mafa-A1_092g2","A1_092_02,A1_092_03"
"Mafa-B_046g2","B_046_02_01,B_046_02_02_01"
"Mafa-B_046g3","B_046_03,B_046_06,B_046_11_01_01,B_046_21_01_01"
"Mafa-B_046g4","B_046_04_01_01,B_046_08_01,B_046_08_02,B_046_09_01_01,B_046_17"
"Mafa-B11L_01g","B11L_01_01,B11L_01_06_01_01N"
"Mafa-B16_01g1","B16_01_01,B16_01_03_01,B16_01_11,B16_01_12_01_01,B16_01_14_01_01"
"Mafa-B16_01g2","B16_01_04,B16_01_04_01_01,B16_01_18_01_01N"
"Mafa-B16_01g3","B16_01_06,B16_01_07,B16_01_13_01_01,B16_01_15_01_01"
"Mafa-B16_01g4","B16_01_08,B16_01_10"
"Mafa-B_018g1","B_018_02_01_01,B_018_03_01_01"
"Mafa-B_057g1","B_057_01,B_057_02_01_01,B_057_05_01,B_057_05_02"
"Mafa-B_083g1","B_083_01,B_083_05_01_01,B_161_01_01_01"
"Mafa-B_114g","B_114_01_01,B_114_04,B_114_05_01_01"
"Mafa-B_134g1","B_134_01,B_135_01"
"Mafa-B_012g","B_012_01,B_012_02"
"Mafa-B_018g2","B_018_01_01_01,B_018_01_01_02,B_018_01_02"
"Mafa-B_037g2","B_037_01_01_01,B_037_01_01_02,B_037_03"
"Mafa-B_036g","B_036_01_01,B_036_01_02_01,B_036_01_03_01,B_036_01_04,B_036_02,B_036_03,B_036_04,B_036_05,B_036_06_01_01"
"Mafa-B_138g","B_138_01,B_138_02_01_01"
"Mafa-B_061g1","B_061_01,B_061_04_01_01,B_061_04_01_02,B_061_04_02_01,B_061_04_03_01,B_061_05"
"Mafa-B_068g1","B_068_01,B_068_02_01_01,B_068_02_01_02,B_068_03,B_068_06_01_01,B_068_06_01_02,B_068_06_01_03,B_068_06_02,B_068_07_02_01,B_068_11,B_068_13,B_068_15,B_068_16,B_068_17_01_01"
"Mafa-B_019g","B_019_01,B_019_02,B_019_03_01_01,B_019_03_02_01,B_019_04,B_019_05"
"Mafa-B_058g","B_058_01,B_058_02"
"Mafa-B_142g","B_142_01,B_142_02"
"Mafa-B_121g","B_121_01,B_121_02"
"Mafa-B_144g","B_144_01_01_01,B_144_02_01_01"
"Mafa-B_030g1","B_030_01_01_01,B_030_01_01_02,B_030_01_03,B_030_01_04,B_030_01_05,B_030_02_01_01,B_030_02_02,B_030_04_01_01,B_030_05_01_01,B_030_05_02,B_030_06,B_030_07_01,B_030_07_02,B_030_08N,B_030_10,B_030_11_01_01,B_030_13,B_030_14,B_030_15_01_01,B_030_15_02,B_030_16,B_030_17_01_01,B_030_20_01,B_030_20_02"
"Mafa-B_034g","B_034_01,B_034_02,B_034_03_01_01,B_034_05"
"Mafa-B_030g2","B_030_12_01_01,B_030_19"
"Mafa-B_015g1","B_015_01,B_015_03_01_01,B_015_04,B_015_06,B_015_07,B_015_10"
"Mafa-B_030g3","B_030_02_03,B_030_03_01_01,B_030_03_02_01,B_030_03_02_02,B_030_03_02_03,B_030_03_02_04,B_030_18_01_01,B_030_21"
"Mafa-B_073g","B_073_01_01_01,B_073_02,B_073_04"
"Mafa-B_104g","B_104_01_01_01,B_104_01_02_01,B_104_02,B_104_04"
"Mafa-B_064g","B_064_01_01_01,B_064_03,B_064_05,B_064_06_01_01"
"Mafa-B_148g","B_148_01_01,B_148_01_01_01,B_148_01_02,B_148_02"
"Mafa-B_150g","B_150_01_01_01,B_150_01_02"
"Mafa-B_151g2","B_151_01,B_151_01_01_01"
"Mafa-B_098g2","B_098_01_01_01,B_098_04_01_01,B_098_04_01_02,B_098_04_01_03,B_098_13,B_098_22_01_01,B_098_22_01_02"
"Mafa-B_149g","B_149_01_01_01,B_149_01_01_02,B_149_02_01_01"
"Mafa-B_002g2","B_002_01,B_002_05,B_002_06,B_136_03"
"Mafa-B_015g2","B_015_02,B_015_09_01_01"
"Mafa-B_075g","B_075_02_01,B_075_02_02,B_075_04_01_01"
"Mafa-B_027g","B_027_01,B_027_02_01_01,B_027_03_01_01,B_027_03_02,B_027_04,B_044_08"
"Mafa-B_044g1","B_044_01_01_01,B_044_01_01_02,B_044_01_01_03,B_044_01_02,B_044_01_03,B_044_03_01,B_044_03_02,B_044_10,B_044_11,B_044_12,B_044_13,B_044_14,B_044_15"
"Mafa-B_044g2","B_044_02,B_044_04,B_044_04_01_01,B_044_05,B_044_07,B_044_09"
"Mafa-B_051g1","B_051_02,B_051_17"
"Mafa-B_162g1","B_162_01_01_01,B_162_01_02_01,B_162_04_01_01,B_162_05_01_01"
"Mafa-B_041g1","B_041_05N,B_065_01,B_065_02_01_01,B_065_03,B_065_04_01_01,B_065_05"
"Mafa-B_103g","B_103_01_01_01,B_103_01_02"
"Mafa-B_054g1","B_054_01_01,B_054_01_02_01"
"Mafa-B_014g","B_014_01_01_01,B_014_02"
"Mafa-B_069g1","B_069_01_01_01,B_069_01_01_02"
"Mafa-B_021g","B_021_01,B_021_02,B_021_03,B_021_05,B_021_06,B_021_07"
"Mafa-B_077g","B_077_01_01_01,B_077_02_01_01,B_077_04"
"Mafa-B_093g","B_093_01,B_093_02_01_01,B_093_02_01_02"
"Mafa-B_092g","B_092_01,B_092_02_01_01,B_092_04_01_01,B_092_05_01_01"
